id,liquidity_tier,usd_size,input_mint,output_mint,amount,ours_status,ours_out,jup_restricted_status,jup_restricted_out,jup_unrestricted_status,jup_unrestricted_out,delta_bps_vs_restricted,delta_bps_vs_unrestricted,outcome_vs_restricted,ours_server_ms,ours_rtt_ms,jup_restricted_rtt_ms,jup_unrestricted_rtt_ms,jaccard_vs_restricted
sol-usdc-0.1usd-fwd,major,0.1,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,625000,ok,47470,ok,47469,ok,47473,0.211,-0.632,tie,180.000,181.452,118.574,105.965,0.000
sol-usdc-0.1usd-rev,major,0.1,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,100000,ok,1316434,ok,1316434,ok,1316482,0.000,-0.365,tie,57.000,57.612,100.319,109.559,1.000
sol-usdc-1usd-fwd,major,1,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6250000,ok,474738,ok,474738,ok,474773,0.000,-0.737,tie,126.000,127.275,105.931,119.365,1.000
sol-usdc-1usd-rev,major,1,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,1000000,ok,13162762,ok,13162762,ok,13164245,0.000,-1.127,tie,86.000,87.117,101.198,135.542,1.000
sol-usdc-10usd-fwd,major,10,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,62500000,ok,4747389,ok,4746902,ok,4747372,1.026,0.036,win,146.000,147.016,119.531,119.912,1.000
sol-usdc-10usd-rev,major,10,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,10000000,ok,131637641,ok,131637641,ok,131637220,0.000,0.032,tie,83.000,84.242,127.036,160.937,1.000
sol-usdc-100usd-fwd,major,100,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,625000000,ok,47469586,ok,47469586,ok,47503310,0.000,-7.099,tie,139.000,139.485,119.830,107.466,1.000
sol-usdc-100usd-rev,major,100,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,100000000,ok,1315742314,ok,1315645137,ok,1315745842,0.739,-0.027,tie,87.000,88.471,105.142,103.059,0.000
sol-usdc-1000usd-fwd,major,1000,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6250000000,ok,474921833,ok,475018633,ok,475156869,-2.038,-4.946,loss,138.000,139.271,127.111,118.837,1.000
sol-usdc-1000usd-rev,major,1000,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,1000000000,ok,13151966885,ok,13152061986,ok,13157093737,-0.072,-3.897,tie,81.000,82.462,113.647,142.338,0.500
